"00072250018548","Nature's Own","Nature's Own Butter Buns Hotdog - 8 Ct",10.79

"00028000517205", "Nestle"             , 
"Nestle Media Crema Table Cream"       , 
17.97

"00034000020706"    , 
"York", 
"York Peppermint Patties Dark Chocolate Covered Snack Size", 
12.64 "00038000570742", 
"Kellogg's", "Kellogg's Cereal Krave Chocolate",
  18.66

"00014100072331" , "Pepperidge Farm", "Pepperidge Farm 
          Classic Cookie Favorites", 14.43


"833735000720","Quorn","Quorn Spaghetti & Meatless Meatballs Meatless & Soy Free",23.32
"12844098150","Refresh Your Car!","Refresh Your Car! Odor Eliminating Scented Oil Wick Cucumber Melon",9.79
"38000475443","Rice Krispies","Kellogg's Cocoa Krispies Cereal",5.67
"71518000011","Hodgson Mill","Hodgson Mill Active Dry Yeast For All Flours",15.29
"5010724527375","Batiste","Bastiste Dry Shampoo Instant Hair Refresh  Floral & Flirty Blush",20.77
"74683004341","Maple Grove Farms Of Vermont","Maple Grove Farms Of Vermont Honey Mustard Dressing",5.33
"47500003629","Bridgford","Bridgford Pepperoni",21.5
"672125017272","Artskills","Artskills Glitter Stars Foam Stickers - 60 Ct",15.12
"309974672405","Revlon","Revlon Age Defying With Dna Advantage Early Tan Cream Makeup",16.51
"97421360073","Powerbar","Power Bar Pria 110 Calorie Plus Mint Chocolate Cookie Flavor Nutrition Bar",14.68
"16000141568","Lucky Charms","Lucky Charms",5.57
"28000275259","Juicy Juice","Nestle Juicy Juice All Natural 100% Apple Juice",4.65
"732913440580","Seventh Generation","Seventh Generation Baby Free & Clear 4t/5t Training Pants",11.12
"41196415063","Progresso","Progresso Light Vegetable Soup",18.46
"41520877987","Companion","Companion Cat Litter Pan Medium",10.58
"00835841005255", "Fiber One", "Fiber One Bread Country White", 3.87
"83820725537","Kaliber","Kaliber Non-alcoholic Premium Brew Malt Beverage - 6 Pk",7.25
"86600703114","Bumble Bee","Bumble Bee Classic Hummus With Wheat Crackers",16.95
"52100003375","Mccormick","Mccormick Gourmet Collection Cumin Seed",12.04
"34000043989","York","York Peppermint Patties Classic Bag",14.21
"27434012065","Twinlab","Twinlab Norwegian Cod Liver Oil Dietary Supplement Softgels - 250 Ct",23.7
